Study.Name	PlotOrder	Inclusion	HA.Analysis	RA.Analysis	Study.Number	Short.Citation	from Blaustein?	Host.Species	Host.Collection.Location	local or endemic Bd strain	Local Lineage	where local/endemic strain collected	non-local or non-endemic Bd strain	non-local Lineage	where non-local strain collected	outcome of local strain infection	outcome of non-local strain infection	mortality.local.or.endemic.Bd	n.local.or.endemic.Bd	mortality.nonlocal.or.pandemic.Bd	n.nonlocal.or.pandemic.Bd	Historical.coexistence	host.adult.ecology	reproductive.mode	life.stage.exp	exposure dose	comments	Control.mortality	Amount.Cont.mortality
Rana onca.16a	S	Yes	N	Y	16a	Waddle et al. 2019 EcoHealth		Rana onca	Nevada	Local Bd-GPL from P. regilla (SMR)	Bd-GPL	NV	LC63	Presumed Bd-GPL	Australia? or captive breeding facility	"moderate mortality for P. regilla isolate, functionally zero mortality for R. onca isolate"	moderate mortality	42	12	58	12	NA	semi-aquatic	"aquatic, tadpole"	larvae	3x10^6 over 3 days	"comparison of local vs. non local GPL; inoculated twice a week apart, and then a third time at metamorphosis"	No	0
Rana onca.16b	T	Yes	N	Y	16b	Waddle et al. 2019 EcoHealth		Rana onca	Nevada	Local Bd-GPL from R. onca (LBP)	Bd-GPL	NV	LC63	Presumed Bd-GPL	Australia? or captive breeding facility	"moderate mortality for P. regilla isolate, functionally zero mortality for R. onca isolate"	moderate mortality	25	12	58	12	NA	semi-aquatic	"aquatic, tadpole"	larvae	3x10^6 over 3 days	"comparison of local vs. non local GPL; inoculated twice a week apart, and then a third time at metamorphosis"	Yes	7.9
Rana pipiens.12c	U	Yes	N	Y	12c	Gahl et al. 2012 Conservation Biology	Y	Rana pipiens	"New Brunswick, Canada"	JEL404	Bd-GPL	"Crocker Pond, Maine, in June 2004"	JEL423	Bd-GPL	Panama	no mortality	no mortality	10	10	10	10	NA	semi-aquatic	"aquatic,tadpole"	metamorph	"10^6-7 zoospores, 10^5-6 spoorangia"		Yes	10
Rana sylvatica.4b	V	Yes	N	Y	4b	Gahl et al. 2012 Conservation Biology	Y	Rana sylvatica	"New Brunswick, Canada"	JEL404	Bd-GPL	"Crocker Pond, Maine, in June 2004"	JEL423	Bd-GPL	Panama	increased mortality	"increased mortality,"	62.6794258	60	46.4114833	60	NA	terrestrial	"aquatic,tadpole"	larvae	"10^6-7 zoospores, 10^5-6 spoorangia"		Yes	15.52
Rana sylvatica.12d	W	Yes	N	Y	12d	Becker et al 2017 FuncEco	N	Rana sylvatica	Maine	JEL 404/JEL 258	Bd-GPL	"Crocker Pond, Maine, in June 2004"	JEL423	Bd-GPL	Panama	"Yes, mortality"	"Yes, mortality"	72.23628695	80	18.2278481	80	NA	terrestrial	"aquatic,tadpole"	larvae	Bd inoculations were performed on day 0 and on day 17 using 106 zoospores per tank.	10 tadpoles each in 4 tanks	Yes	4.7
Bufo bufo.		No	N	N		Fisher et al. 2009 Mol Ecol	Y	Bufo bufo	UK	UKTvB	Bd-GPL	UK	TF5a1	BdCAPE	Spain?	"Yes, moderate mortality"	"Yes, mortality, greater than CAPE"	75.7	80	48.75	80	No	terrestrial	"aquatic,tadpole"	larvae	Cumulative exposure for high_dose groups = 19 000 zoospores; low dose = 190 zoospores	"comparison of GPL to CAPE, high +low exposure"	Yes	32
Rana sylvatica.		No	N	N		Becker et al 2017 FuncEco	N	Rana sylvatica	Maine	JEL 258	Bd-GPL	"Maine, USA"	UM142	Bd-Brazil	Brazil	"Yes, mortality"	"Yes, mortality"	77.2995781	40	52.3206751	40	NA	terrestrial	"aquatic,tadpole"	larvae	Bd inoculations were performed on day 0 and on day 17 using 106 zoospores per tank.	10 tadpoles each in 4 tanks	Yes	4.7
Rana sylvatica.		No	N	N		Becker et al 2017 FuncEco	N	Rana sylvatica	Maine	JEL 404	Bd-GPL	"Crocker Pond, Maine, in June 2004"	UM142	Bd-Brazil	Brazil	"Yes, mortality"	"Yes, mortality"	67.1729958	40	52.3206751	40	NA	terrestrial	"aquatic,tadpole"	larvae	Bd inoculations were performed on day 0 and on day 17 using 106 zoospores per tank.	10 tadpoles each in 4 tanks	Yes	4.7
Ambystoma laterale.		No	N	Y		Gahl et al. 2012 Conservation Biology	Y	Ambystoma laterale	"New Brunswick, Canada"	JEL404	Bd-GPL	"Crocker Pond, Maine, in June 2004"	JEL423	Bd-GPL	Panama	no mortality	no mortality	0	7	0	7	NA	terrestrial	"aquatic,tadpole"	metamorph	"10^6-7 zoospores, 10^5-6 spoorangia"		NR	0
Hyla cinerea.		No	N	Y		Brannelly et al. 2012 PLoS ONE	Y	Hyla cinerea	Louisiana	SRS810	Bd-GPL	SC	JEL423	Bd-GPL	"Guabal, Panama"	"low infection loads throughout, no symptoms of disease"	"low infection loads throughout, no symptoms of disease"	0	10	0	10	NA	arboreal	"aquatic, tadpole"	"juvenile, adult"	"SRS810 received a dose of 2.7_106 zoospores in the first inoculation, 1.6_106zoospores in the second (two days later) and 0.4_106 zoospores in the third (another two days later); JEL423 animals were inoculated with 10.7_106 zoospores in the first, 55.4_106 zoospores in the second and 10.6_106 zoospores in the third inoculation"	zoospore inoculum prepared with Holtfreter’s solution - inoculation dose depends on amount produced on the plates	No Controls	0
Pseudacris crucifer.		No	N	Y		Gahl et al. 2012 Conservation Biology	Y	Pseudacris crucifer	"New Brunswick, Canada"	JEL404	Bd-GPL	"Crocker Pond, Maine, in June 2004"	JEL423	Bd-GPL	Panama	no mortality	no mortality	0	7	0	7	NA	arboreal	"aquatic,tadpole"	metamorph	"10^6-7 zoospores, 10^5-6 spoorangia"		NR	0
Rana catesbeianus.		No	N	Y		Gahl et al. 2012 Conservation Biology	Y	Rana catesbeianus	"New Brunswick, Canada"	JEL404	Bd-GPL	"Crocker Pond, Maine, in June 2004"	JEL423	Bd-GPL	Panama	no mortality	no mortality	0	6	0	6	NA	semi-aquatic	"aquatic,tadpole"	metamorph	"10^6-7 zoospores, 10^5-6 spoorangia"		NR	0
Alytes muletensis.1	R	Yes	Y	N	1	Doddington et al. 2013 Ecology	Y	Alytes muletensis	Mallorca	TF5a1	Bd-Cape	Mallorca	UKTvB	Bd-GPL	mainland Iberia	"hypovirulent, but increased mortality relative to control (~25 mortality), avg load ~275"	"significantly greater mortality than local Bd and than control (~80 mortality), avg load ~1994"	34.61538462	26	73.07692308	26	Yes	terrestrial	"aquatic, tadpole"	larvae	"cumulative exposure of 23,000 zoospores over two weeks"		Yes	15.4
Bufo bufo.2a	Q	Yes	Y	N	2a	Fisher et al. 2009 Mol Ecol	Y	Bufo bufo	UK	TF5a1	BdCAPE	Mallorca	UKTvB	Bd-GPL		"Yes, moderate mortality"	"Yes, mortality, greater than CAPE"	48.75	80	75.7	80	No	terrestrial	"aquatic,tadpole"	larvae	Cumulative exposure for high_dose groups = 19 000 zoospores; low dose = 190 zoospores	exposure as tadpole; measuring metamorph survival	Yes	32
Bufo bufo.2b	P	Yes	Y	N	2b	Fisher et al. 2009 Mol Ecol	Y	Bufo bufo	UK	TF5a1	BdCAPE	Mallorca	IA042	Bd-GPL				48.75	80	68.5	80	No	terrestrial	"aquatic,tadpole"	larvae	Cumulative exposure for high_dose groups = 19 000 zoospores; low dose = 190 zoospores	exposure as tadpole; measuring metamorph survival	Yes	32
Bufo bufo.3a	O	Yes	Y	N	3a	Farrer et al. 2011 PNAS		Bufo bufo	UK	MallorcaCAPE(multi)	BdCAPE	Mallorca	GPL-VA#	Bd-GPL	Spain	"Yes (varied by isolate, overall lower than GPL);CCB1, TF5a1 and TF1.1 (Mallorca, BdCAPE lineage)"	"Yes (varied by isolate, overall higher than CAPE);Isolates used were IA042, IA043, 0711 (Pyrenees, BdGPL), VAo2, VAo4, VAo5 (Valencia, BdGPL lineage)"	19.3867458	105	38.1	105	No	terrestrial	"aquatic,tadpole"	larvae	"3,000–17,000 active zoospores per exposure in liquid media of Bd zoospores every 4 d for a total of eight times"	exposure as tadpole; measuring metamorph survival; All are technically not local to the UK	Yes	10.98
